project,ranking
Automated Assumption Refinement for Autonomous Systems (two projects),1
Automated Software Specification Repair using Large Language Models,2
Reactive synthesis in collaborative environments,3
Repairing Specifications with Unavoidable Boundary Conditions,4
Symbolic Learning Approach to Requirements Classification,5
Gaussian Belief Propagation for Distributed Optimization,6
Data driven formative feedback on Lambda Feedback,7
Develop an elective selection platform for the Business School,8
Anomaly Detection and Regulatory Compliance in Gas Networks,9
Counterexamples as Explanations,10
Evaluating LLM Role-Playing Consistency Through Formal Verification in Improvisational Settings,11
Finite Automata for the Verification of Strategic Abilities of Autonomous Agents,12
Leveraging Dynamics Models for Single-shot Task Generalization in Reinforcement Learning,13
Neuro-Symbolic Policy Learning and Representation for Interpretable and Formally-Verifiable Reinforcement Learning,14
Policy and Value Function Compositionality for Safe Reinforcement Learning,15
Reasoning about Stochastic Games of Imperfect Information,16
Reinforcement Learning for Infinite-horizon Counter Objectives,17
The Trade-off between Exploration and Exploitation in Multi-agent Reinforcement Learning,18
The Verification of Multi-agent Hybrid Systems,19
6D Pose Graph Optimization via Topological Deep Learning,20
Deep Learning on Topological Domains,21
Generative Flow Matching Models for Human Pose Modeling,22
"Large Language Models, Hashing and Error Correction (jointly with AWS)",23
Mixture of Experts Design for Large Language Modeling,24
UV-free high-resolution surface texture generation,25
Computing the noise threshold of quantum error correcting codes,26
Neural belief propagation for quantum error correction,27
Quantum belief propagation for random quantum maxcut,28
Scaling laws in learning properties of quantum systems at thermal equilibrium,29
Algorithms for the LINE scientific library (Java),30
AI Assistant for Software Development Teams,31
Double-Blind Code Review,32
Instant Walking Skeleton,33
Kotlin Playground ++,34
LambdaFeedback - providing feedback on student code exercises,35
Collaborative early exit inference at the edge,36
Better than ELO ranking for MOBA games (e.g. LoL),37
Challenging the AGI Hype: A New Benchmark for LLMs,38
Tracking the Buzz: Honey Bee Computer Vision Tracking,39
Algorithmic Complexity of Machine Learning Models,40
Nearest Neighbour Search through Diffusion Models,41
Improving Biological Foundation Models using Curriculum Learning through Quality-Diversity Reinforcement Learning (Industrial collaboration Helical),42
Unsupervised Quality-Diversity Reinforcement Learning,43
Are ML models leaking information about their training data?,44
Quantifying Privacy Risks in Parameter-Efficient Fine-Tuning (PEFT) of Large Language Models (LLMs),45
Understanding and analysing concurrency bugs in machine learning compilers,46
Verifying futex implementations using model checking,47
More Declarative Proving with Dafny,48
Reasoning about Verona Concurrency,49
What does GitHub do,50
Customizable 3D Avatar Generation Platform,51
Enhancing 3D Face Reconstruction with StyleGANv3-Based Texture Decoding,52
Now Say It Differently: Perturbation-Testing of LLM Robustness,53
Reasoning about Humour: It's No Laughing Matter,54
Unsupervised Humour Style Transfer: Advancing Computational Understanding of Humour Styles,55
Leveraging Vision-Language Models to contextualise natural human gaze and intentions for robotic human augmentation,56
